,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
0,1,2021-02-01 00:40:47,2021-02-01 00:48:28,1.0,2.3,1.0,N,141,226,2,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5,
1,1,2021-02-01 00:07:44,2021-02-01 00:20:31,1.0,1.6,1.0,N,43,263,2,9.5,3.0,0.5,0.0,0.0,0.3,13.3,0.0,
2,1,2021-02-01 00:59:36,2021-02-01 01:24:13,1.0,5.3,1.0,N,114,263,2,19.0,3.0,0.5,0.0,0.0,0.3,22.8,2.5,
3,2,2021-02-01 00:03:26,2021-02-01 00:16:32,1.0,2.79,1.0,N,236,229,1,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5,
4,2,2021-02-01 00:20:20,2021-02-01 00:24:03,2.0,0.64,1.0,N,229,140,1,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5,
5,2,2021-02-01 00:55:03,2021-02-01 01:03:39,1.0,1.97,1.0,N,238,75,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76,0.0,
6,1,2021-02-01 00:09:22,2021-02-01 00:53:48,1.0,26.6,1.0,N,132,200,1,69.0,0.5,0.5,0.0,6.12,0.3,76.42,0.0,
7,2,2021-02-01 00:52:15,2021-02-01 01:16:24,4.0,6.07,1.0,N,249,181,1,21.0,0.5,0.5,6.2,0.0,0.3,31.0,2.5,
8,1,2021-02-01 00:08:29,2021-02-01 00:21:22,1.0,2.0,1.0,N,79,246,1,9.0,3.0,0.5,3.2,0.0,0.3,16.0,2.5,
9,1,2021-02-01 00:28:13,2021-02-01 00:31:40,1.0,0.8,1.0,Y,75,74,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,0.0,
10,1,2021-02-01 00:17:42,2021-02-01 00:28:23,1.0,2.1,1.0,N,74,24,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,0.0,
11,1,2021-02-01 00:25:10,2021-02-01 00:25:38,1.0,0.0,1.0,N,113,113,4,2.5,3.0,0.5,0.0,0.0,0.3,6.3,2.5,
12,1,2021-02-01 00:23:48,2021-02-01 00:34:59,1.0,2.8,1.0,N,90,229,1,11.0,3.0,0.5,3.7,0.0,0.3,18.5,2.5,
13,2,2021-02-01 00:18:31,2021-02-01 00:46:45,1.0,8.08,1.0,N,75,88,1,26.5,0.5,0.5,6.06,0.0,0.3,36.36,2.5,
14,2,2021-02-01 00:33:38,2021-02-01 00:55:59,2.0,6.41,1.0,N,132,122,2,21.0,0.5,0.5,0.0,0.0,0.3,22.3,0.0,
15,2,2021-02-01 00:34:13,2021-02-01 00:42:13,1.0,1.53,1.0,N,170,48,2,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5,
16,1,2021-02-01 00:33:17,2021-02-01 00:33:17,1.0,0.0,5.0,Y,260,264,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,2,2021-02-01 00:17:53,2021-02-01 00:30:23,1.0,2.72,1.0,N,142,90,1,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5,
18,2,2021-02-01 00:38:17,2021-02-01 00:46:53,1.0,1.72,1.0,N,68,249,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,
19,2,2021-02-01 00:06:33,2021-02-01 00:13:56,1.0,2.42,1.0,N,79,256,4,-9.0,-0.5,-0.5,0.0,0.0,-0.3,-12.8,-2.5,
20,2,2021-02-01 00:06:33,2021-02-01 00:13:56,1.0,2.42,1.0,N,79,256,2,9.0,0.5,0.5,0.0,0.0,0.3,12.8,2.5,
21,2,2021-02-01 00:21:23,2021-02-01 00:25:01,1.0,0.66,1.0,N,148,79,1,4.5,0.5,0.5,2.49,0.0,0.3,10.79,2.5,
22,2,2021-02-01 00:51:19,2021-02-01 01:06:31,1.0,3.43,1.0,N,100,263,1,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5,
23,2,2021-02-01 00:24:54,2021-02-01 00:55:36,1.0,10.62,1.0,N,132,39,2,31.0,0.5,0.5,0.0,0.0,0.3,32.3,0.0,
